Time	Acceleration - Dev3_ai0	Acceleration - Dev3_ai1	Acceleration - Dev3_ai2
3.215039E-1	4.227847E-3	1.712415E-3	3.856838E-4
3.221094E-1	5.808197E-3	7.430082E-3	5.260247E-3
3.227148E-1	2.049525E-3	5.337062E-3	5.577490E-3
3.233203E-1	1.701726E-3	1.041184E-3	-2.786748E-3
3.239258E-1	7.052952E-3	6.124233E-3	1.910891E-3
3.245312E-1	4.246152E-3	6.173050E-3	3.863157E-3
3.251367E-1	3.080719E-3	1.389003E-3	2.722302E-3
3.257422E-1	8.944492E-3	1.178698E-2	4.125493E-3
3.263477E-1	4.746494E-3	3.921375E-3	2.100017E-3
3.269531E-1	3.898353E-3	2.719261E-3	2.594184E-3
3.275586E-1	3.483434E-3	6.008293E-3	6.315691E-3
3.281641E-1	2.763429E-3	3.878660E-3	1.465531E-3
3.287695E-1	4.581747E-3	4.739056E-3	-1.011406E-3
3.293750E-1	3.953268E-3	7.564329E-3	5.193138E-3
3.299805E-1	3.776318E-3	3.903069E-3	3.454401E-3
3.305859E-1	5.405482E-3	6.386623E-3	3.759443E-3
3.311914E-1	4.294966E-3	7.021242E-3	1.282506E-3
3.317969E-1	4.002082E-3	3.577484E-4	-3.098108E-4
3.324023E-1	7.632617E-3	9.181385E-3	6.157069E-3
3.330078E-1	3.391908E-3	3.134204E-3	2.734503E-3
3.336133E-1	5.393279E-3	3.805435E-3	-2.512210E-3
3.342188E-1	6.546508E-3	6.960221E-3	3.131057E-3
3.348242E-1	2.751225E-3	3.872558E-3	3.436099E-3
3.354297E-1	3.038007E-3	1.724619E-3	3.240872E-3
3.360352E-1	6.162098E-3	1.277552E-2	5.919137E-3
3.366406E-1	3.855640E-3	5.166203E-3	1.776673E-3
3.372461E-1	4.618358E-3	7.857229E-3	4.869794E-3
3.378516E-1	3.721402E-3	6.313398E-3	6.486514E-3
3.384570E-1	1.701726E-3	1.675802E-3	-2.793067E-4
3.390625E-1	6.552609E-3	7.167692E-3	4.405913E-4
3.396680E-1	3.800725E-3	6.179152E-3	4.607458E-3
3.402734E-1	3.404112E-3	1.010673E-3	4.527929E-4
3.408789E-1	5.124802E-3	5.086876E-3	3.905863E-3
3.414844E-1	4.862428E-3	1.004788E-2	2.514873E-3
3.420898E-1	2.824446E-3	3.842048E-3	1.331510E-6
3.426953E-1	5.985148E-3	7.344653E-3	4.961306E-3
3.433008E-1	3.050211E-3	-5.453624E-4	2.679596E-3
3.439063E-1	3.068516E-3	6.411032E-3	8.188427E-4
3.445117E-1	3.959370E-3	7.649758E-3	3.259175E-3
3.451172E-1	4.551239E-3	4.708546E-3	1.587547E-3
3.457227E-1	4.966157E-3	4.061723E-3	3.869258E-3
3.463281E-1	3.989879E-3	1.034689E-2	5.193138E-3
3.469336E-1	8.718895E-4	3.884762E-3	-1.816934E-4
3.475391E-1	5.661755E-3	7.338551E-3	2.765008E-3
3.481445E-1	5.320058E-3	5.861843E-3	4.015678E-3
3.487500E-1	1.347825E-3	1.803946E-3	9.286577E-4
3.493555E-1	5.295651E-3	8.241662E-3	1.660757E-3
3.499609E-1	4.288864E-3	5.453002E-3	2.081715E-3
3.505664E-1	2.067831E-3	2.926733E-3	1.435027E-3
3.511719E-1	2.763429E-3	6.282888E-3	6.437707E-3
3.517773E-1	1.317317E-3	6.935812E-3	1.697362E-3
3.523828E-1	4.758698E-3	5.825230E-3	1.770572E-3
3.529883E-1	5.863113E-3	1.206768E-2	5.943540E-3
3.535937E-1	3.349364E-4	-7.162212E-4	1.978000E-3
3.541992E-1	4.777003E-3	5.898455E-3	4.100871E-4
3.548047E-1	4.935648E-3	5.068570E-3	1.868185E-3
3.554102E-1	3.648181E-3	3.628474E-3	3.551797E-4
3.560156E-1	3.269873E-3	2.670444E-3	2.838217E-3
3.566211E-1	6.302438E-3	8.784749E-3	5.132130E-3
3.572266E-1	4.551239E-3	2.499586E-3	-1.542178E-3
3.578320E-1	5.576331E-3	1.045672E-2	4.204803E-3
3.584375E-1	3.312586E-3	8.803055E-3	6.870866E-3
3.590430E-1	2.116645E-3	7.705180E-5	1.056775E-3
3.596484E-1	6.162098E-3	7.216509E-3	3.686233E-3
3.602539E-1	1.768845E-3	2.383646E-3	2.600285E-3
3.608594E-1	2.202069E-3	3.903069E-3	3.173763E-3
3.614648E-1	5.021073E-3	4.342420E-3	3.777745E-3
3.620703E-1	6.076674E-3	3.677291E-3	-9.870029E-4
3.626758E-1	7.522786E-3	8.009782E-3	3.747241E-3
3.632812E-1	3.989879E-3	7.051752E-3	4.680668E-3
3.638867E-1	4.252254E-3	2.212787E-3	1.807177E-3
3.644922E-1	6.497694E-3	6.880893E-3	2.618588E-3
3.650977E-1	4.435306E-3	2.884018E-3	1.727866E-3
3.657031E-1	1.433250E-3	2.127357E-3	1.380119E-3
3.663086E-1	5.124802E-3	5.343164E-3	4.979609E-3
3.669141E-1	3.526146E-3	6.026599E-3	3.149360E-3
3.675195E-1	3.782420E-3	2.060234E-3	-2.793067E-4
3.681250E-1	7.376344E-3	9.571919E-3	6.553623E-3
3.687305E-1	3.001397E-3	3.207429E-3	1.740068E-3
3.693359E-1	5.741078E-3	6.057110E-3	1.794976E-3
3.699414E-1	5.875316E-3	1.236058E-2	4.491542E-3
3.705469E-1	3.727504E-3	1.309676E-3	3.978855E-4
3.711523E-1	5.649552E-3	4.336318E-3	2.618588E-3
3.717578E-1	4.002082E-3	6.307296E-3	5.010113E-3
3.723633E-1	2.464444E-3	4.775669E-3	5.321037E-4
3.729688E-1	3.513943E-3	5.074672E-3	2.075614E-3
3.735742E-1	3.806826E-3	6.435440E-3	3.576418E-3
3.741797E-1	3.275975E-3	3.396594E-3	2.563680E-3
3.747852E-1	4.557341E-3	1.153680E-2	4.827088E-3
3.753906E-1	4.203440E-3	5.989987E-3	1.733967E-3
3.759961E-1	2.842752E-3	2.054132E-3	3.490788E-4
3.766016E-1	5.271244E-3	7.167692E-3	5.034516E-3
3.772070E-1	2.543766E-3	3.957987E-3	8.859519E-4
3.778125E-1	4.050896E-3	7.027344E-3	2.270622E-4
3.784180E-1	6.375659E-3	7.735187E-3	4.149896E-3
3.790234E-1	3.751911E-3	4.452258E-3	2.112219E-3
3.796289E-1	5.979046E-3	9.309529E-3	6.163170E-3
